Nom,Adresse,Prestations,Tel,Website,page
 Safran ," 104 r St Maur, 75011 PARIS", , 01 71 72 92 71 ,null http://www.facebook.com/Creperie-Safran-198150897271456 http://safran.lafourchette.rest/en http://safran.lafourchette.rest/en_GB,44
 Zamane ," 118 r Mouffetard, 75005 PARIS", , 01 43 36 20 71 ,http://www.facebook.com/ZamaneParis,44
 Drogheria Italiana ," 35 r Léon Frot, 75011 PARIS"," Prestations : traiteur italien, plateau repas, boisson, vente à emporter", 01 43 73 40 85 ,null http://www.facebook.com/drogheria.italiana http://www.facebook.com/drogheria.italiana/timeline http://www.drogheria-italiana.com,44
 Lama ," 10 r Fontaine du But, 75018 PARIS", , 01 42 51 93 17 ,http://www.facebook.com/chezzena,44
 La Nomade Gourmande ," 102 r Abbé Groult, 75015 PARIS", , 01 55 76 97 67 , ,44
 Diamonds Royal Events ," 54 av Hoche, 75008 PARIS", , 06 13 34 48 79 ,null http://facebook.com/DIAMONDSRoyalEvents http://www.diamondsroyalevents.com,44
 FRANCART ," 30 r Dauphine, 75006 PARIS"," Prestations : plateau repas, organisation de réceptions", 01 83 81 45 05 ,null http://www.facebook.com/MaisonFrancart http://www.facebook.com/pages/francart-maison-gourmande/293388364029411 http://www.maisonfrancart.com,44
 Dalloyau ," 63 r Grenelle, 75007 PARIS", Marques : DALLOYAU, 01 45 49 95 30 ,null http://www.dalloyau.fr/nos-boutiques/france/raspail http://www.dalloyau.fr,44
 Les Délices de Crète SARL ," 154 r Fbg St Antoine, 75012 PARIS", , 01 43 47 42 77 ,http://www.facebook.com/pages/Snack-les-D%C3%A9lices-de-Cr%C3%AAte/1034875479979013,44
 Délices d'Au ," 1 r Jean Giraudoux, 75116 PARIS"," Prestations : traiteur vietnamien, vente à emporter, cuisine asiatique, cuisine vietnamienne, cuisine chinoise, cuisine japonaise", 01 47 20 46 69 , ,44
 Ankka ," 24 r La Boétie, 75008 PARIS", Prestations : saladerie, 01 47 42 77 90 ,null http://www.facebook.com/AnkkaBoetie http://www.ankka.fr,44
 Five Guys ," 42 cour St Emilion, 75012 PARIS"," Paiement : Chèques vacances, Espèces, CB, Visa, Mastercard, Titres restaurants, American Express", 01 43 44 46 51 ,null http://www.facebook.com/Five-Guys-1159297330826015 http://www.facebook.com/FiveGuysFrance/?ref=page_internal http://www.facebook.com/FiveGuysFrance,44
 Norim Laïla ," 22 r Pinel, 75013 PARIS", , 06 46 43 35 14 , ,45
 FoodChéri ," 30 r Vergniaud, 75013 PARIS", , 01 42 24 10 55 ,null http://fr-fr.facebook.com/foodcheri/ http://www.foodcheri.com/,45
 Campisi Gastronomie ," 1 r Bauches, 75016 PARIS", Prestations : vente en ligne, 01 43 54 87 81 ,http://www.campisigastronomie.com,45
 2 Bis Café ," 2 Bis r Ecoles, 75005 PARIS", , 01 48 74 08 49 ,null http://www.facebook.com/2BisCafe http://www.facebook.com/pages/deux-bis-cafe/138246266220903,45
 Subway ," 7 bd Denain, 75010 PARIS"," Prestations : saladerie, sandwicherie", 09 81 80 54 08 ,null http://www.facebook.com/SubwayEnFrance http://www.subway.com/fr-fr http://www.subwayfrance.fr,45
 Ahamada Akia ," 28 r Télégraphe, 75020 PARIS", , 01 53 65 75 85 , ,45
 Pavillon Kléber POTEL ET CHABOT ," 7 r Cimarosa, 75116 PARIS", , 01 85 09 97 24 ,null http://www.facebook.com/pages/Potel-Chabot-Pavillon-Kl%C3%A9ber/356377304451907 http://www.facebook.com/pages/Pavillon-Kl%C3%A9ber/149004315136136 http://poteletchabot.com,45
 Nuits Célestes ," 149 av Maine, 75014 PARIS", , 01 40 26 07 98 , ,45
 UGC Cine Cite ," Forum Halles Niveau 3-4 7 pl Rotonde, 75001 PARIS"," Prestations : saladerie, sandwicherie", 09 81 81 05 65 ,null http://www.facebook.com/berts.cafecontemporain http://fr-fr.facebook.com/UGCcinemas/ http://www.facebook.com/UGCcinemas,45
 La Guinguette d'Angèle ," 34 r Coquillière, 75001 PARIS", , 01 45 25 20 40 ,http://www.facebook.com/guinguettedangele,45
 Jean-Michel Sabat Traiteur-Paris Canal ," 7 bd Exelmans, 75016 PARIS"," Prestations : traiteur à domicile, repas d'affaire, repas d'anniversaire, plateau repas, location de matériel de réception, location de vaisselle, location de salle, personnel de réception, maître d'hôtel, cuisinier", 01 71 97 69 69 ,http://www.pariscanal.com,45
 Houdré-grégoire Sandrine ," 18 cité Joly, 75011 PARIS", Prestations : repas d'anniversaire, 06 60 95 79 34 , ,45
 Maubourg Réception ," 22 bd La Tour-Maubourg, 75007 PARIS", , 01 40 50 66 23 ,http://29maubourg.com,45
 Chez Nelly ," 39 r Jean de la Fontaine, 75016 PARIS"," Prestations : traiteur asiatique, traiteur bio, repas d'affaire, repas d'anniversaire, organisation de réceptions, boisson", 01 73 70 20 04 ,http://www.facebook.com/pages/Chez-Nelly/135506369834798,45
 Daraghma Derar ," 24 r Vulpian, 75013 PARIS"," Prestations : traiteur libanais, traiteur à domicile", 01 43 70 52 02 , ,45
 Antioche ," 2 r Réunion, 75020 PARIS"," Prestations : traiteur grec, traiteur halal, repas d'affaire, repas d'anniversaire, repas sans gluten, repas sans sel, plateau repas, organisation de réceptions, boisson, vente à emporter", 01 46 34 88 27 , ,45
 Bagus Bali ," 46 r Monsieur le Prince, 75006 PARIS"," Paiement : CB, Visa, Mastercard, Titres restaurants", 01 48 74 91 51 ,null http://www.facebook.com/pages/bagelstein/492434320808944 http://www.bagelstein.com http://bagus-bali.business.site/?utm,45
 Torrini Lorenzo ," 123 bd Magenta, 75010 PARIS", , 01 46 06 96 36 , ,45
 Mamma Roma ," 2 r Francoeur, 75018 PARIS"," Paiement : CB, Visa, Mastercard", 01 42 74 26 43 ,null http://www.facebook.com/mammaromafrancoeur http://www.mammaroma.fr http://www.mammaroma.fr/fr,45
 DELITALY ORNELLA ," 15 r Rambuteau, 75004 PARIS", , ,http://www.delitaly.fr,45
